day,initial_sequence,initial_tick_id,initial_timestamp_utc,initial_side,reversal_triggered,reversal_tick_id,reversal_timestamp_utc,reversal_side,initial_realized_loss,reversal_entry,double_recovered,double_recovery_seconds,single_recovered,single_recovery_seconds,max_adverse_before_scale_down,double_max_favorable,scaled_pnl_60,scaled_pnl_300
2026-01-20,10,26950852,2026-01-20T20:02:31+00:00,long,True,26950926.0,2026-01-20T20:02:55+00:00,short,-0.8799999999991996,4759.1,True,119.444,True,122.492,-4.679999999998472,5.18000000000211,-3.219999999999345,1.6000000000021828
2026-01-21,1,27007958,2026-01-21T02:34:21+00:00,short,True,27008078.0,2026-01-21T02:34:57+00:00,long,-0.3600000000005821,4832.56,True,2.0,True,5.348,-0.7600000000020373,13.659999999998035,0.9199999999991633,1.6699999999991633
2026-01-21,2,27017768,2026-01-21T03:20:51+00:00,long,False,,,,,,,,,,,,,
2026-01-21,3,27053215,2026-01-21T06:21:48+00:00,short,False,,,,,,,,,,,,,
2026-01-21,4,27068215,2026-01-21T07:28:25+00:00,short,True,27068453.0,2026-01-21T07:29:25+00:00,long,-5.390000000000327,4849.92,False,,False,,-13.990000000000691,-1.1700000000009823,-4.369999999999891,-8.289999999999964
2026-01-21,5,27088593,2026-01-21T09:14:57+00:00,short,True,27088689.0,2026-01-21T09:15:34+00:00,long,-0.4499999999998181,4860.4,True,28.146,True,31.621,-3.6699999999991633,0.9700000000002547,-0.3599999999987631,-1.2899999999990541
2026-01-21,6,27112775,2026-01-21T11:33:15+00:00,long,True,27112813.0,2026-01-21T11:33:29+00:00,short,-0.6300000000001091,4863.22,False,,False,,-6.769999999999527,-0.13000000000010914,-2.8499999999994543,-5.390000000000327
2026-01-21,7,27122548,2026-01-21T12:30:25+00:00,short,True,27122667.0,2026-01-21T12:31:12+00:00,long,-0.6199999999998909,4864.86,True,17.864,True,78.973,-1.6799999999993815,4.080000000000837,0.19000000000050932,2.0
2026-01-21,8,27133029,2026-01-21T13:24:13+00:00,long,False,,,,,,,,,,,,,
2026-01-21,9,27224609,2026-01-21T20:07:09+00:00,short,False,,,,,,,,,,,,,
2026-01-22,1,27319672,2026-01-22T05:38:18+00:00,short,True,27319811.0,2026-01-22T05:39:15+00:00,long,-0.5200000000004366,4799.05,True,0.755,True,0.755,-0.7200000000011642,7.099999999998545,1.0299999999988358,2.589999999999236
2026-01-22,2,27343318,2026-01-22T07:45:00+00:00,long,True,27343340.0,2026-01-22T07:45:09+00:00,short,-0.75,4833.15,True,5.27,True,8.787,-1.4099999999998545,3.389999999999418,0.8699999999989814,-0.7800000000006548
2026-01-22,3,27366661,2026-01-22T10:01:41+00:00,short,True,27366698.0,2026-01-22T10:02:03+00:00,long,-0.38000000000010914,4824.14,True,0.616,True,1.219,-0.14000000000032742,1.159999999998945,-1.140000000001237,-2.650000000001455
2026-01-22,4,27382183,2026-01-22T11:40:35+00:00,short,True,27382189.0,2026-01-22T11:40:38+00:00,long,-0.3100000000004002,4829.1,True,23.0,True,23.248,-0.9300000000012005,4.6899999999996,1.229999999998654,1.9399999999986903
2026-01-22,5,27402688,2026-01-22T13:33:56+00:00,long,True,27402706.0,2026-01-22T13:34:01+00:00,short,-0.75,4821.73,True,124.74,True,146.193,-8.290000000000873,3.569999999999709,-3.75,-1.8100000000013097
2026-01-22,6,27424695,2026-01-22T15:18:05+00:00,short,False,,,,,,,,,,,,,
2026-01-23,1,27529403,2026-01-23T01:32:43+00:00,short,True,27529534.0,2026-01-23T01:33:23+00:00,long,-2.0299999999997453,4951.88,True,16.546,True,36.186,-3.009999999999309,6.4299999999993815,1.6300000000001091,-1.1599999999998545
2026-01-23,2,27557336,2026-01-23T04:16:50+00:00,long,False,,,,,,,,,,,,,
2026-01-26,1,27824192,2026-01-26T04:15:50+00:00,short,True,27824209.0,2026-01-26T04:15:58+00:00,long,-0.32999999999992724,5076.48,False,,False,,-8.469999999999345,-0.029999999998835847,-1.6299999999991996,-5.149999999999636
