period,window_minutes,band_stdev,slope_mode,side,events,successes,excellent_proxy_rate,cover_5s_rate,median_mfe_15,median_mae_15
earlier,30,2.0,300,long,24,1,0.041666666666666664,0.4583333333333333,0.3049999999998363,1.1550000000002
earlier,30,2.0,300,short,14,2,0.14285714285714285,0.7142857142857143,0.6050000000000182,0.41000000000030923
earlier,30,2.0,both,long,8,1,0.125,0.25,0.2299999999995634,2.300000000000182
earlier,30,2.0,both,short,4,0,0.0,0.75,0.38000000000056383,0.625
later,30,0.5,60,long,40,4,0.1,0.35,0.06500000000005454,0.9499999999998181
later,30,0.5,60,short,33,2,0.06060606060606061,0.21212121212121213,0.0699999999997089,0.6900000000005093
later,30,0.5,300,long,46,5,0.10869565217391304,0.3695652173913043,0.1249999999995452,0.8600000000001273
later,30,0.5,300,short,38,1,0.02631578947368421,0.23684210526315788,-0.04500000000052745,0.7350000000001273
later,30,0.5,both,long,34,4,0.11764705882352941,0.4117647058823529,0.1249999999995452,1.0499999999997272
later,30,0.5,both,short,29,1,0.034482758620689655,0.20689655172413793,-0.0300000000006548,0.7600000000002183
later,30,1.0,60,long,19,2,0.10526315789473684,0.42105263157894735,0.089999999999236,0.6500000000005457
later,30,1.0,60,short,28,4,0.14285714285714285,0.35714285714285715,-0.0299999999997453,0.6900000000000546
later,30,1.0,300,long,28,3,0.10714285714285714,0.39285714285714285,0.0399999999995089,0.7450000000003456
later,30,1.0,300,short,37,5,0.13513513513513514,0.35135135135135137,-0.0399999999999636,0.7200000000002547
later,30,1.0,both,long,19,2,0.10526315789473684,0.42105263157894735,0.089999999999236,0.6500000000005457
later,30,1.0,both,short,24,4,0.16666666666666666,0.375,-0.0299999999997453,0.6850000000004002
later,30,1.5,60,long,9,1,0.1111111111111111,0.5555555555555556,0.1499999999996362,0.4899999999997817
later,30,1.5,60,short,9,1,0.1111111111111111,0.4444444444444444,-0.1700000000000727,1.0100000000002185
later,30,1.5,300,long,16,1,0.0625,0.5,0.0950000000002546,0.525000000000091
later,30,1.5,300,short,17,2,0.11764705882352941,0.23529411764705882,-0.1499999999996362,0.7100000000000364
later,30,1.5,both,long,8,1,0.125,0.5,0.019999999999981852,0.5
later,30,1.5,both,short,8,1,0.125,0.375,-0.1849999999999454,1.2100000000000364
later,30,2.0,60,long,3,0,0.0,0.3333333333333333,0.5200000000004366,0.5599999999994907
later,30,2.0,60,short,1,1,1.0,1.0,2.300000000000182,0.0
later,30,2.0,300,long,11,1,0.09090909090909091,0.5454545454545454,0.3599999999996726,0.7899999999999636
later,30,2.0,300,short,6,2,0.3333333333333333,0.3333333333333333,0.06999999999970895,0.6500000000005457
later,30,2.0,both,long,3,0,0.0,0.3333333333333333,0.5200000000004366,0.5599999999994907
later,30,2.0,both,short,1,1,1.0,1.0,2.300000000000182,0.0
earlier,60,0.5,60,long,57,2,0.03508771929824561,0.47368421052631576,0.2100000000000363,0.7899999999999636
earlier,60,0.5,60,short,48,4,0.08333333333333333,0.4166666666666667,0.1049999999995634,0.9649999999996908
earlier,60,0.5,300,long,72,2,0.027777777777777776,0.4583333333333333,0.19500000000016365,0.7950000000000728
earlier,60,0.5,300,short,56,4,0.07142857142857142,0.35714285714285715,0.05999999999994535,1.0499999999997272
earlier,60,0.5,both,long,52,2,0.038461538461538464,0.46153846153846156,0.1600000000003092,0.7899999999999636
earlier,60,0.5,both,short,41,2,0.04878048780487805,0.3902439024390244,0.0999999999994543,1.1499999999996362
earlier,60,1.0,60,long,30,3,0.1,0.4666666666666667,0.18000000000029098,0.9500000000002728
earlier,60,1.0,60,short,30,4,0.13333333333333333,0.36666666666666664,0.169999999999618,0.5700000000001637
earlier,60,1.0,300,long,41,3,0.07317073170731707,0.34146341463414637,0.1700000000000727,1.0900000000001455
earlier,60,1.0,300,short,32,4,0.125,0.40625,0.19000000000005454,0.525000000000091
earlier,60,1.0,both,long,27,3,0.1111111111111111,0.4444444444444444,0.1700000000000727,1.0
earlier,60,1.0,both,short,26,2,0.07692307692307693,0.34615384615384615,0.169999999999618,0.5700000000001637
earlier,60,1.5,60,long,12,1,0.08333333333333333,0.4166666666666667,0.25,1.180000000000291
earlier,60,1.5,60,short,10,3,0.3,0.5,0.580000000000382,0.7649999999998727
earlier,60,1.5,300,long,20,1,0.05,0.3,-0.03499999999985445,1.2349999999996726
earlier,60,1.5,300,short,12,3,0.25,0.5833333333333334,0.28000000000020003,0.5350000000003092
earlier,60,1.5,both,long,11,1,0.09090909090909091,0.45454545454545453,0.5,1.180000000000291
earlier,60,1.5,both,short,7,3,0.42857142857142855,0.7142857142857143,1.559999999999491,0.3200000000006184
earlier,60,2.0,60,long,4,2,0.5,0.75,1.5199999999999818,0.3550000000004729
earlier,60,2.0,60,short,1,0,0.0,1.0,0.3000000000001819,1.3499999999994543
earlier,60,2.0,300,long,13,2,0.15384615384615385,0.46153846153846156,0.1999999999998181,0.8699999999998909
earlier,60,2.0,300,short,2,1,0.5,1.0,1.5049999999996544,0.6749999999997272
earlier,60,2.0,both,long,4,2,0.5,0.75,1.5199999999999818,0.3550000000004729
earlier,60,2.0,both,short,1,0,0.0,1.0,0.3000000000001819,1.3499999999994543
later,60,0.5,60,long,22,2,0.09090909090909091,0.45454545454545453,0.0749999999998181,0.7100000000004911
later,60,0.5,60,short,29,1,0.034482758620689655,0.3103448275862069,0.2399999999997817,0.660000000000764
later,60,0.5,300,long,26,4,0.15384615384615385,0.4230769230769231,0.0749999999998181,0.6850000000004002
later,60,0.5,300,short,29,1,0.034482758620689655,0.3103448275862069,0.2399999999997817,0.7799999999997453
later,60,0.5,both,long,19,2,0.10526315789473684,0.47368421052631576,0.0499999999992724,0.6900000000005093
